019fa57b-ab82-74d2-bd83-e49fab5b0000	2026-07-27 21:29:33.680288+00	2026-07-27 21:29:33.680288+00	AVAILABLE	\\x19d545af41452c06febe786208b4760a04fead99a4c2b6f01d952d2e8497dee9	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A64r3Qw+XOFNZkKnxq3F1umgcVHZNpbAawsG2UY+7vwW", "0000000000000000000000000000000000000000000000000000000000000002": "A6Yxr0aMPKdR0LD5JGXv+bOGZNfSKHwJG8ZmRt8Owhz9", "0000000000000000000000000000000000000000000000000000000000000003": "A/ld++P01wje/CIbBJZTz/z4L+w9ym18CuGcEEbbtbj6"}	\\x020836218f03573e82d60a751895c64b1354c8e06d044ff87a690e80a71e093d11	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0001	2026-07-27 21:29:33.680289+00	2026-07-27 21:29:33.680289+00	AVAILABLE	\\x6b27e18e72a0f46b12ea40da91b6542cb4ebef60d8872d4f4736ea4e951582f1	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AnsTYGaorzDESImhlcUTMDha63Dpb5ZIz7p6rmel4nzH", "0000000000000000000000000000000000000000000000000000000000000002": "AqYCSVLmpSGE7ocrX8t1ZhBZ0ddVbv9IGa/EGGguJApm", "0000000000000000000000000000000000000000000000000000000000000003": "A6kWHDM8ubhlv8sTbdSq04wuE02x0cE5sgLouIp6/w72"}	\\x0378310810e2e6088f1a9b159b9ec7c2d8adf1db22c476e4f945944fc064528151	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0002	2026-07-27 21:29:33.680289+00	2026-07-27 21:29:33.680289+00	AVAILABLE	\\x8f6333138195789fe2ce7acdb9831e22fc0991e9488aec71bb0cbe6897d181d8	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A2NqMWiuvM9PWKvnCGXDFBOyxBHdzLqm0QjuaO3Sj63e", "0000000000000000000000000000000000000000000000000000000000000002": "AmPW7gwHE/ghj1hMt32km+ZUgiXyDeDJVl/5/ZinlkqM", "0000000000000000000000000000000000000000000000000000000000000003": "AySz0MFIk9AKx03169v/aZ5jaIcAhFRMUvBLznpSNYrH"}	\\x03cc2fb2dca0fbfd7ac047801bea19e1f18d7b7824baca5eb6d650fd6c6fd258a6	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0003	2026-07-27 21:29:33.680289+00	2026-07-27 21:29:33.680289+00	AVAILABLE	\\xd54b0f96baf4b7393f085168ffcb5a9b3c2db416ff613097ed5a7b956eb37db0	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AtdcKYeHoyDyE7+wrfr6jI25fM7yQUFs10fIsJbDG5Oi", "0000000000000000000000000000000000000000000000000000000000000002": "A7lyVUiwl+/oiIY61BPm8dn/tS/EKQwK3pnE1vVJb2MM", "0000000000000000000000000000000000000000000000000000000000000003": "AkM3va4nCRJpGh7XMXgPst4eWb+xNa27+sHjXeeXQZCJ"}	\\x0299c56a4ff9e7fa6d9e673de62998715da1b7b3fe4742ba8099caab20eab48db9	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0004	2026-07-27 21:29:33.680289+00	2026-07-27 21:29:33.680289+00	AVAILABLE	\\x9b3656f9fc8fb4913a23813c4d9ace9fe111c3552f0a03f45622cd455d551a8e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AgWxyK1F5HuNf7Dgf7b8+Wzg14ft2JAo24Rel2UCbcho", "0000000000000000000000000000000000000000000000000000000000000002": "A7sn3B0VABoR9EnFFMBb8isj2nkfzORMVcUI5REDd/Ir", "0000000000000000000000000000000000000000000000000000000000000003": "Aob++QyI3gaPUpjaigudsQ+sPTnhAcgH02EC4kNV/Abt"}	\\x02ff139b3347e7d010ac530be0328a326af0771482ea100aeee4aa9193ae8024fa	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0005	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\x260f89a8ed35d474b9063956f5c072fd7c959204a4cf8ed873a505e65e387acd	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A8g3B2Q0SnSi8mx2M+cuQzHokbrE1LGP2cXQ2N0nI7xL", "0000000000000000000000000000000000000000000000000000000000000002": "A+mw7b2f4K1bF9XcNm/ZuTEqCaPmFkQYI4E4RnPpcycc", "0000000000000000000000000000000000000000000000000000000000000003": "A960pYOq5mrPRQ22qTJKoKlaXAOXctdUvs/Ce7582haJ"}	\\x0380f600dc6966b90edd8736b916782e0f952cf900527475bb242839516e1c8277	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0006	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\x1a55d9ef1cf6493304c7605ef7068be4c08e8f80699bb2aac445bc7d66ea15ea	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Aw+cLvWSy+uHbqF+JW74Bf58AGeTB6B5Tx3Lalwk0VWE", "0000000000000000000000000000000000000000000000000000000000000002": "ApB3LamUgAvnZzPUB4tVu1NM01AkwFc6ietwN87etSRn", "0000000000000000000000000000000000000000000000000000000000000003": "Ar8viCNQY6ieonG2VYY0mfvLRLiyrkKkn564JplLChms"}	\\x03782232e1ff325337ee8bdfacc561a37cdde4dc03b2dc860c73977bc34500d3e2	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0007	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\xfd5ec29377005586ca65ce20531691f528ab9ffa1aaebd92184ce01fcf821c6f	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+0rLQTFo/Hu1wUg8QamMAWEmp3AWCy/NEoWKqSXLHfr", "0000000000000000000000000000000000000000000000000000000000000002": "Az254hq4P+QLL/7XAqYQKq/NgpKAoFpkoclBD4dy216S", "0000000000000000000000000000000000000000000000000000000000000003": "A5wbbRsf+T0OHf8aoLVGbNcW8/dlzKO67UAiG4zyorII"}	\\x03b9cb7f61d83f036137bb68642e7e60f9dac154e047fb5f62b1c71a5df9cbb3c5	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0008	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\x77a7786143f3b2ee2335363f5b3268dc5bc1cc01370580ed78bdec14028986a4	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+I+ALSz8hW1BvLHYxZ24ebqKOBq+VkXGLWe82yyMSrR", "0000000000000000000000000000000000000000000000000000000000000002": "A0OO2AY1AELsGEVAFd7Rtu5wY5mXGaIvw+3xdlrMEdyx", "0000000000000000000000000000000000000000000000000000000000000003": "Aoc80LW+LqUUuc4AbelCFCxtxsxRIciQwqk2tT1d9T2H"}	\\x037b595667abca17d37484ae5f58d047451cc351f601ef35c200f7c07f5e8406fb	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0009	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\x3ac2ea7c6493298873620785c7166d4e7f4c52587507eb14961f8e19fe01422f	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Avt4GkhevVBhgQ8uuWggHHUdABxi2FyeEVrJQq2NsQI/", "0000000000000000000000000000000000000000000000000000000000000002": "AkKy3xbzgF7tdKHj1uuLnI5OWrhmW90PNbpEdef+/Mti", "0000000000000000000000000000000000000000000000000000000000000003": "AhhcMwfLebB/HDse4jx7JwsH2Rv+xOhOkJ6FqMVUbB5R"}	\\x02faecb885c6e7f06be43a3c3caa50d0dc055752149ff8e2d4fb71b00828cb0874	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000a	2026-07-27 21:29:33.68029+00	2026-07-27 21:29:33.68029+00	AVAILABLE	\\x2e231f8f1e2e90792d332ef12e8d5b5963da79f9ce8d0cc0cde665ca4b38d8be	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AyBvmo5vEG2x86dVBUqJsla3oJbHfvvb5iPL9J0k6GDW", "0000000000000000000000000000000000000000000000000000000000000002": "A3av3EtJ8CfFDMMPuCzlFpEQe4Rf7pMSEpi0ZfEsyFql", "0000000000000000000000000000000000000000000000000000000000000003": "A1Du4zs7cBk+oLW4Ze/EbEmbwDspKKgHgnyxqCt/b04w"}	\\x02c727045199741d6ce9f2ef0e3dd70248a10b7f6586d7015eaa05a7f020b4d195	2	0
