019fa57b-ab82-74d2-bd83-e49fab5b0000	2026-07-27 21:29:33.679733+00	2026-07-27 21:29:33.679733+00	AVAILABLE	\\xe9ca2c142e8e2b92f2ee122deaf3e71b5f3c9e47dea0ff7f352e0961be19ee2e	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A64r3Qw+XOFNZkKnxq3F1umgcVHZNpbAawsG2UY+7vwW", "0000000000000000000000000000000000000000000000000000000000000002": "A6Yxr0aMPKdR0LD5JGXv+bOGZNfSKHwJG8ZmRt8Owhz9", "0000000000000000000000000000000000000000000000000000000000000003": "A/ld++P01wje/CIbBJZTz/z4L+w9ym18CuGcEEbbtbj6"}	\\x020836218f03573e82d60a751895c64b1354c8e06d044ff87a690e80a71e093d11	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0001	2026-07-27 21:29:33.679734+00	2026-07-27 21:29:33.679734+00	AVAILABLE	\\x56cddd1c2ffe10fabcff4e6b36e8bc16be6b189d501370fb28d3de4e9e6415a7	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AnsTYGaorzDESImhlcUTMDha63Dpb5ZIz7p6rmel4nzH", "0000000000000000000000000000000000000000000000000000000000000002": "AqYCSVLmpSGE7ocrX8t1ZhBZ0ddVbv9IGa/EGGguJApm", "0000000000000000000000000000000000000000000000000000000000000003": "A6kWHDM8ubhlv8sTbdSq04wuE02x0cE5sgLouIp6/w72"}	\\x0378310810e2e6088f1a9b159b9ec7c2d8adf1db22c476e4f945944fc064528151	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0002	2026-07-27 21:29:33.679734+00	2026-07-27 21:29:33.679734+00	AVAILABLE	\\x0cdf21742043ced6e7c35098623d186b908f1976b30078134fda7a548eba7974	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A2NqMWiuvM9PWKvnCGXDFBOyxBHdzLqm0QjuaO3Sj63e", "0000000000000000000000000000000000000000000000000000000000000002": "AmPW7gwHE/ghj1hMt32km+ZUgiXyDeDJVl/5/ZinlkqM", "0000000000000000000000000000000000000000000000000000000000000003": "AySz0MFIk9AKx03169v/aZ5jaIcAhFRMUvBLznpSNYrH"}	\\x03cc2fb2dca0fbfd7ac047801bea19e1f18d7b7824baca5eb6d650fd6c6fd258a6	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0003	2026-07-27 21:29:33.679734+00	2026-07-27 21:29:33.679734+00	AVAILABLE	\\x26fcce94d435330524421649dbdf0a2efd79bb99baa6fb55cc2968cd8c58d036	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AtdcKYeHoyDyE7+wrfr6jI25fM7yQUFs10fIsJbDG5Oi", "0000000000000000000000000000000000000000000000000000000000000002": "A7lyVUiwl+/oiIY61BPm8dn/tS/EKQwK3pnE1vVJb2MM", "0000000000000000000000000000000000000000000000000000000000000003": "AkM3va4nCRJpGh7XMXgPst4eWb+xNa27+sHjXeeXQZCJ"}	\\x0299c56a4ff9e7fa6d9e673de62998715da1b7b3fe4742ba8099caab20eab48db9	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0004	2026-07-27 21:29:33.679734+00	2026-07-27 21:29:33.679734+00	AVAILABLE	\\xfed31b000d7751d51ba13ce439f6fd3c0c0646268f99c295d9b59f23ba7bbc99	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AgWxyK1F5HuNf7Dgf7b8+Wzg14ft2JAo24Rel2UCbcho", "0000000000000000000000000000000000000000000000000000000000000002": "A7sn3B0VABoR9EnFFMBb8isj2nkfzORMVcUI5REDd/Ir", "0000000000000000000000000000000000000000000000000000000000000003": "Aob++QyI3gaPUpjaigudsQ+sPTnhAcgH02EC4kNV/Abt"}	\\x02ff139b3347e7d010ac530be0328a326af0771482ea100aeee4aa9193ae8024fa	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0005	2026-07-27 21:29:33.679734+00	2026-07-27 21:29:33.679735+00	AVAILABLE	\\x84f032fabd153189d4861aee14be1a4a4af9a45620e0b049a1db0b9faa32c79f	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A8g3B2Q0SnSi8mx2M+cuQzHokbrE1LGP2cXQ2N0nI7xL", "0000000000000000000000000000000000000000000000000000000000000002": "A+mw7b2f4K1bF9XcNm/ZuTEqCaPmFkQYI4E4RnPpcycc", "0000000000000000000000000000000000000000000000000000000000000003": "A960pYOq5mrPRQ22qTJKoKlaXAOXctdUvs/Ce7582haJ"}	\\x0380f600dc6966b90edd8736b916782e0f952cf900527475bb242839516e1c8277	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0006	2026-07-27 21:29:33.679735+00	2026-07-27 21:29:33.679735+00	AVAILABLE	\\xf7f7cdf1af4fdf5a6f1aa260fa45d87a828c64248f9430ab8df953a7530765b7	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Aw+cLvWSy+uHbqF+JW74Bf58AGeTB6B5Tx3Lalwk0VWE", "0000000000000000000000000000000000000000000000000000000000000002": "ApB3LamUgAvnZzPUB4tVu1NM01AkwFc6ietwN87etSRn", "0000000000000000000000000000000000000000000000000000000000000003": "Ar8viCNQY6ieonG2VYY0mfvLRLiyrkKkn564JplLChms"}	\\x03782232e1ff325337ee8bdfacc561a37cdde4dc03b2dc860c73977bc34500d3e2	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0007	2026-07-27 21:29:33.679735+00	2026-07-27 21:29:33.679735+00	AVAILABLE	\\xdfdafd1eb8dafc8c2e205f1f0cde93ebfd4e4f0a79d54a31a1359ab73865687a	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+0rLQTFo/Hu1wUg8QamMAWEmp3AWCy/NEoWKqSXLHfr", "0000000000000000000000000000000000000000000000000000000000000002": "Az254hq4P+QLL/7XAqYQKq/NgpKAoFpkoclBD4dy216S", "0000000000000000000000000000000000000000000000000000000000000003": "A5wbbRsf+T0OHf8aoLVGbNcW8/dlzKO67UAiG4zyorII"}	\\x03b9cb7f61d83f036137bb68642e7e60f9dac154e047fb5f62b1c71a5df9cbb3c5	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0008	2026-07-27 21:29:33.679735+00	2026-07-27 21:29:33.679735+00	AVAILABLE	\\x6b606e912bc8942f3dc1a0c011327873ec54192edf6e906be2fe5343641ecd49	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "A+I+ALSz8hW1BvLHYxZ24ebqKOBq+VkXGLWe82yyMSrR", "0000000000000000000000000000000000000000000000000000000000000002": "A0OO2AY1AELsGEVAFd7Rtu5wY5mXGaIvw+3xdlrMEdyx", "0000000000000000000000000000000000000000000000000000000000000003": "Aoc80LW+LqUUuc4AbelCFCxtxsxRIciQwqk2tT1d9T2H"}	\\x037b595667abca17d37484ae5f58d047451cc351f601ef35c200f7c07f5e8406fb	2	0
019fa57b-ab82-74d2-bd83-e49fab5b0009	2026-07-27 21:29:33.679735+00	2026-07-27 21:29:33.679735+00	AVAILABLE	\\xcb4d9ca276f950a20079cf21e98e17a0bb9220b427fdbbccb1d851abbccd33f7	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "Avt4GkhevVBhgQ8uuWggHHUdABxi2FyeEVrJQq2NsQI/", "0000000000000000000000000000000000000000000000000000000000000002": "AkKy3xbzgF7tdKHj1uuLnI5OWrhmW90PNbpEdef+/Mti", "0000000000000000000000000000000000000000000000000000000000000003": "AhhcMwfLebB/HDse4jx7JwsH2Rv+xOhOkJ6FqMVUbB5R"}	\\x02faecb885c6e7f06be43a3c3caa50d0dc055752149ff8e2d4fb71b00828cb0874	2	0
019fa57b-ab82-74d2-bd83-e49fab5b000a	2026-07-27 21:29:33.679736+00	2026-07-27 21:29:33.679736+00	AVAILABLE	\\x3b2130558017346619ee3a69261e5ab1886c77ac06ae38cd5957447f80cfc743	\N	{"0000000000000000000000000000000000000000000000000000000000000001": "AyBvmo5vEG2x86dVBUqJsla3oJbHfvvb5iPL9J0k6GDW", "0000000000000000000000000000000000000000000000000000000000000002": "A3av3EtJ8CfFDMMPuCzlFpEQe4Rf7pMSEpi0ZfEsyFql", "0000000000000000000000000000000000000000000000000000000000000003": "A1Du4zs7cBk+oLW4Ze/EbEmbwDspKKgHgnyxqCt/b04w"}	\\x02c727045199741d6ce9f2ef0e3dd70248a10b7f6586d7015eaa05a7f020b4d195	2	0
